PublishedLineName,DirectionRef,NextStopPointName
B38,0.0,ADAMS ST/BKLYN SUPREME CRT
B42,1.0,ROCKAWAY PY/AV L
B35,0.0,HEGEMAN AV/THOMAS S BOYLAND ST
B38,1.0,FULTON ST/DUFFIELD ST
B82,0.0,FLATLANDS AV/FLATBUSH AV
B12,0.0,ALBANY AV/HAWTHORNE ST
B46-SBS,1.0,KINGS PLAZA
B35,1.0,CHURCH AV/REMSEN AV
B26,0.0,WYCKOFF AV / PALMETTO ST
B13,1.0,FOREST AV/WOODBINE ST
B46,0.0,BROADWAY/MARCY AV
B14,1.0,SUTTER AV/AUTUMN AV
B15,1.0,N. conduit av/cohancy st
B45,0.0,LIVINGSTON ST/SMITH ST
B36,0.0,AV Z/CONEY ISLAND AV
B17,1.0,SEAVIEW AV/E 108 ST
B65,0.0,DEAN ST/CARLTON AV
B37,0.0,4 AV/DEAN ST
